,user,movie,rating
0,162,318,3
1,3926,2501,4
2,3266,2897,1
3,3472,1582,5
4,5014,2049,2
5,508,515,4
6,1332,31,5
7,4772,1276,4
8,4077,1916,1
9,1456,1539,1
10,270,3460,4
11,823,2959,5
12,3056,3542,3
13,2222,1003,4
14,3128,147,3
15,1608,241,4
16,3064,2651,5
17,2808,3238,4
18,2079,49,4
19,3219,3265,4
20,1057,2438,3
21,4155,192,4
22,1586,977,3
23,4505,3274,4
24,5518,2460,3
25,3710,2614,4
26,532,2990,4
27,1198,309,5
28,2105,1701,2
29,5925,1934,4
30,6035,2882,3
31,2019,460,4
32,823,2173,3
33,3271,1118,4
34,753,2622,4
35,4271,1148,5
36,5110,2806,4
37,5292,971,4
38,3012,525,4
39,1532,2240,4
40,1382,2803,2
41,4516,136,3
42,5635,1167,4
43,5674,2144,3
44,1290,2417,3
45,2882,907,4
46,1978,3607,3
47,1610,1818,2
48,5336,2822,3
49,5316,106,2
50,1139,3229,4
51,1483,1516,4
52,3950,965,3
53,2041,1288,4
54,2663,1631,4
55,1795,542,4
56,5274,3186,5
57,969,1295,5
58,5725,2821,5
59,1677,357,3
60,1883,1826,4
61,3207,962,3
62,903,3192,1
63,5652,2561,3
64,159,3277,3
65,5601,3153,4
66,5530,1183,5
67,4481,2740,4
68,1245,2518,3
69,424,1184,5
70,659,1773,4
71,875,1275,4
72,1483,495,3
73,1882,2065,3
74,3566,2013,4
75,270,3031,5
76,5653,2214,4
77,5267,786,2
78,5507,2803,4
79,3517,430,4
80,3400,2460,3
81,2925,224,3
82,4978,1743,4
83,1543,2375,3
84,5503,1277,5
85,532,1019,3
86,995,2426,4
87,2287,3049,1
88,1779,876,3
89,2742,2699,2
90,3899,1449,4
91,4528,2322,3
92,1272,859,4
93,5089,363,5
94,875,2482,4
95,41,31,3
96,4084,502,3
97,4609,2415,4
98,3682,158,3
99,668,287,5
100,3809,346,4
101,4098,239,3
102,529,1134,4
103,3483,3073,1
104,928,1384,4
105,4176,1111,4
106,2316,1192,5
107,2105,673,1
108,890,2386,4
109,3351,1169,3
110,3388,138,3
111,3223,1731,4
112,3785,969,5
113,4909,1761,4
114,790,853,5
115,5602,2683,1
116,394,3510,4
117,2649,2205,5
118,2750,842,5
119,4023,2567,3
120,3006,495,5
121,5113,253,5
122,549,1593,4
123,5106,279,3
124,1631,2249,3
125,5160,2042,4
126,1124,118,2
127,1129,1618,5
128,4168,21,4
129,5362,513,5
130,816,1241,3
131,1747,1000,4
132,1495,2330,3
133,4962,727,4
134,5847,1181,3
135,2103,2311,4
136,3934,1398,1
137,3369,1980,1
138,2172,1453,4
139,4577,2892,4
140,1737,847,3
141,402,583,5
142,4264,1943,3
143,3313,373,4
144,1693,3032,3
145,455,1171,2
146,3682,2211,1
147,3190,2427,3
148,2911,334,4
149,3692,2441,1
150,3575,1912,2
151,2106,2495,5
152,2210,1116,4
153,1073,1817,4
154,1740,3175,5
155,4567,539,3
156,4446,1833,2
157,1698,3500,5
158,28,279,5
159,1146,138,1
160,4950,2959,4
161,5873,1478,5
162,1896,298,5
163,2626,609,2
164,5014,1840,4
165,3188,1333,3
166,3050,2403,4
167,3655,1390,3
168,3712,1066,2
169,2017,2442,5
170,3750,1215,4
171,2810,593,3
172,1902,2111,4
173,5992,1156,2
174,4479,1333,1
175,5272,1177,5
176,1881,2897,4
177,5660,1906,4
178,2187,2845,3
179,3538,3595,2
180,2135,347,4
181,1665,688,3
182,1748,3627,3
183,1382,1821,3
184,118,38,4
185,4565,3203,4
186,3503,1743,4
187,2561,1831,4
188,5412,2942,4
189,3823,1161,3
190,3279,678,3
191,2626,578,3
192,1139,917,5
193,3561,2078,5
194,3997,1554,1
195,4636,2215,2
196,1172,332,3
197,2637,2262,3
198,3293,1848,5
199,204,1196,5
200,5794,2660,3
201,1158,822,1
202,5420,3186,5
203,180,147,3
204,983,420,3
205,1561,1939,3
206,903,1978,4
207,5468,1599,4
208,930,2898,5
209,4479,1024,4
210,1808,2486,4
211,5960,758,2
212,5787,224,4
213,5555,1645,4
214,32,2983,3
215,5729,2739,3
216,5192,862,4
217,3400,527,4
218,3383,802,5
219,3510,2119,4
220,5330,1215,3
221,5038,2558,1
222,164,2584,4
223,3646,2984,4
224,2108,802,4
225,9,3569,4
226,630,3589,3
227,3908,3353,1
228,1628,106,5
