,user,movie
0,0,2162
1,0,513
2,1,3235
3,1,3186
4,1,157
5,1,702
6,1,309
7,1,1271
8,1,2166
9,1,1822
10,1,3566
11,1,3219
12,1,2853
13,2,576
14,2,579
15,4,50
16,4,1741
17,4,1581
18,4,810
19,4,144
20,4,1572
21,4,2511
22,4,1371
23,4,31
24,4,46
25,4,699
26,4,980
27,4,1449
28,4,593
29,4,346
30,4,1889
31,5,786
32,5,3291
33,5,3370
34,5,2203
35,5,581
36,5,2755
37,5,259
38,5,2276
39,6,3510
40,6,3550
41,7,1536
42,7,2482
43,7,56
44,7,1661
45,7,2993
46,7,3032
47,7,2494
48,7,23
49,7,1574
50,7,3036
51,7,575
52,7,0
53,7,275
54,7,38
55,8,1485
56,8,2932
57,8,1215
58,8,1532
59,8,2110
60,8,708
61,9,1618
62,9,1241
63,9,838
64,9,1821
65,9,2304
66,9,1195
67,9,2012
68,9,1866
69,9,3238
70,9,334
71,9,3569
72,9,955
73,9,3681
74,9,1899
75,9,713
76,9,1161
77,9,1178
78,9,3426
79,9,2099
80,9,3389
81,9,3028
82,9,1897
83,9,1774
84,9,1959
85,9,2200
86,9,2511
87,9,3292
88,9,1912
89,9,1980
90,9,910
91,9,1747
92,9,855
93,9,180
94,9,1019
95,9,2415
96,9,2892
97,9,270
98,9,1781
99,9,576
100,9,1952
101,9,583
102,9,877
103,9,3481
104,9,1868
105,9,1131
106,10,2913
107,10,1436
108,10,2114
109,10,579
110,10,467
111,10,2965
112,10,1545
113,10,210
114,10,1736
115,10,593
116,10,2142
117,10,239
118,10,1336
119,12,2221
120,12,576
121,12,1294
122,12,578
123,12,1276
124,12,1277
125,12,1167
126,12,2415
127,12,1924
128,12,627
129,12,1195
130,12,443
131,12,891
132,13,593
133,14,3072
134,14,1584
135,14,3481
136,14,3341
137,14,632
138,14,2501
139,14,370
140,14,2403
141,14,3302
142,14,443
143,14,1705
144,14,2344
145,14,154
146,14,2897
147,14,2415
148,14,1637
149,14,3383
150,14,1373
151,15,2649
152,15,2519
153,16,2358
154,16,1478
155,16,284
156,16,595
157,16,3502
158,16,1614
159,16,2892
160,16,3397
161,16,3685
162,16,581
163,16,3186
164,16,2651
165,16,466
166,16,2455
167,16,2353
168,16,2931
169,16,309
170,16,2374
171,16,1091
172,17,1125
173,17,1696
174,17,1546
